trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,07:45:00,07:45:00,1001,1
1,,,1002,2
1,,,1003,3
1,,,1004,4
1,,,1005,5
1,,,1006,6
1,,,1007,7
1,,,1008,8
1,,,1009,9
1,,,1010,10
1,,,1011,11
1,,,1012,12
1,,,1013,13
1,,,1014,14
1,,,1015,15
1,,,1002,16
1,08:35:00,08:35:00,1001,17
2,08:45:00,08:45:00,1001,1
2,,,1002,2
2,,,1003,3
2,,,1004,4
2,,,1005,5
2,,,1006,6
2,,,1007,7
2,,,1008,8
2,,,1009,9
2,,,1010,10
2,,,1011,11
2,,,1012,12
2,,,1013,13
2,,,1014,14
2,,,1015,15
2,,,1002,16
2,09:35:00,09:35:00,1001,17
3,09:45:00,09:45:00,1001,1
3,,,1002,2
3,,,1003,3
3,,,1004,4
3,,,1005,5
3,,,1006,6
3,,,1007,7
3,,,1008,8
3,,,1009,9
3,,,1010,10
3,,,1011,11
3,,,1012,12
3,,,1013,13
3,,,1014,14
3,,,1015,15
3,,,1002,16
3,10:35:00,10:35:00,1001,17
4,10:45:00,10:45:00,1001,1
4,,,1002,2
4,,,1003,3
4,,,1004,4
4,,,1005,5
4,,,1006,6
4,,,1007,7
4,,,1008,8
4,,,1009,9
4,,,1010,10
4,,,1011,11
4,,,1012,12
4,,,1013,13
4,,,1014,14
4,,,1015,15
4,,,1002,16
4,11:35:00,11:35:00,1001,17
5,11:45:00,11:45:00,1001,1
5,,,1002,2
5,,,1003,3
5,,,1004,4
5,,,1005,5
5,,,1006,6
5,,,1007,7
5,,,1008,8
5,,,1009,9
5,,,1010,10
5,,,1011,11
5,,,1012,12
5,,,1013,13
5,,,1014,14
5,,,1015,15
5,,,1002,16
5,12:35:00,12:35:00,1001,17
6,13:45:00,13:45:00,1001,1
6,,,1002,2
6,,,1003,3
6,,,1004,4
6,,,1005,5
6,,,1006,6
6,,,1007,7
6,,,1008,8
6,,,1009,9
6,,,1010,10
6,,,1011,11
6,,,1012,12
6,,,1013,13
6,,,1014,14
6,,,1015,15
6,,,1002,16
6,14:35:00,14:35:00,1001,17
7,14:45:00,14:45:00,1001,1
7,,,1002,2
7,,,1003,3
7,,,1004,4
7,,,1005,5
7,,,1006,6
7,,,1007,7
7,,,1008,8
7,,,1009,9
7,,,1010,10
7,,,1011,11
7,,,1012,12
7,,,1013,13
7,,,1014,14
7,,,1015,15
7,,,1002,16
7,15:35:00,15:35:00,1001,17
8,15:45:00,15:45:00,1001,1
8,,,1002,2
8,,,1003,3
8,,,1004,4
8,,,1005,5
8,,,1006,6
8,,,1007,7
8,,,1008,8
8,,,1009,9
8,,,1010,10
8,,,1011,11
8,,,1012,12
8,,,1013,13
8,,,1014,14
8,,,1015,15
8,,,1002,16
8,16:35:00,16:35:00,1001,17
9,16:45:00,16:45:00,1001,1
9,,,1002,2
9,,,1003,3
9,,,1004,4
9,,,1005,5
9,,,1006,6
9,,,1007,7
9,,,1008,8
9,,,1009,9
9,,,1010,10
9,,,1011,11
9,,,1012,12
9,,,1013,13
9,,,1014,14
9,,,1015,15
9,,,1002,16
9,17:35:00,17:35:00,1001,17
10,17:45:00,17:45:00,1001,1
10,,,1002,2
10,,,1003,3
10,,,1004,4
10,,,1005,5
10,,,1006,6
10,,,1007,7
10,,,1008,8
10,,,1009,9
10,,,1010,10
10,,,1011,11
10,,,1012,12
10,,,1013,13
10,,,1014,14
10,,,1015,15
10,,,1002,16
10,18:35:00,18:35:00,1001,17
